도서명,저자,출판사
질서 너머 : 인생의 다음 단계로 나아가는 12가지 법칙,"조던 피터슨 지음,김한영 옮김",웅진지식하우스 :웅진씽크빅
"트렌드 코리아 2022 = ,Trend Korea : 서울대 소비트렌드분석센터의 2022 전망","김난도,전미영,최지혜,이향은,이준영,이수진,서유현,권정윤,한다혜,이혜원",미래의창
못 참는 아이 욱하는 부모 : 분노조절장애의 시대를 사는 대한민국 부모에게 주는 육아 멘토 오은영 박사의 감정 조절 육아법,오은영 지음,대성 Korea.com
MBTI 철학자 : 성격 유형으로 분석한 거장들의 삶에서 배우는 '자기실현의 존엄함',이요철 지음,쏭북스
놀다 보면 크는 아이들 : 열두 가지 재미를 품은 놀이의 세계,"이상호 글,이종철 일러스트",보리
심리 읽어드립니다 : 불안 초조 우울 분노'u2026 얽히고설킨 마음*,"김경일,사피엔스 스튜디오",한빛비즈
길가메시 서사시 : 인류 최초의 신화,"앤드류 조지 편역,공경희 옮김",현대지성
감정이 아니라고 말할 때,성유미 지음,다산초당 :다산북스
"디지털적 대상의 존재에 대하여 : 대상, 관계, 논리 : www부터 인공지능까지","허욱 지음,조형준,이철규,임완철 옮김",새물결(새물결출판사)
우리는 어떻게 지금까지 살아남았을까 : 팬데믹 한복판에서 읽는 인류 생존의 역사,"스티븐 존슨 지음,강주헌 옮김",한국경제신문 :한경BP
철학의 쓸모 : 고정 관념을 깨는 '철학 사고' 사용법,"호리코시 요스케 지음,이혜윤 옮김",RHK(알에이치코리아)
상처가 될 줄 몰랐다는 말 : 무심히 저지른 폭력에 대하여,김예원 지음,웅진지식하우스 :웅진씽크빅
정재승의 인간탐구보고서 : 어린이를 위한 뇌과학 프로젝트,"정재은,이고은 공글,김현민 그림",아울북:북이십일
세금 내는 아이들,"옥효진 글,김미연 그림",한국경제신문 :한경BP
10대를 위한 세계미래보고서 2035-2055 : 신기술이 바꾸는 우리의 미래,"박영숙,제롬 글렌 지음",교보문고
10대를 위한 세계미래보고서 2035-2055 : 과학 발달이 바꾸는 우리의 미래,"박영숙,제롬 글렌 지음",교보문고
우당탕탕 야옹이와 바다 끝 괴물,"구도 노리코 글·그림,윤수정 옮김",책읽는곰
포켓몬 가라르 도감,"원서 집필·구성: Takuma Kaede,일러스트: Olm,Mitsuo Kimura",학산문화사
호랑이를 덫에 가두면 : 태 켈러 장편소설,"태 켈러,옮긴이: 강나은",돌베개
긴긴밤,루리 글·그림,문학동네
"과목별 블렌디드 러닝 : 실전 가이드 북 : 언어, 수리 탐구에서 예체능까지","박점희,박찬정,양성혁,임호성,최기영",애플북스 :비전비엔피
딸은 엄마의 감정을 먹고 자란다,박우란 지음,유노라이프
(공부 효율과 학습 능력을 높이는) 메타인지 수업,이성일 지음,경향BP(경향비피)
이반 일리치 강의 : 팬데믹 이후의 학교와 병원을 생각한다,이희경 지음,북튜브
"언론술사 : PD, 변호사, 정치철학자가 뽑은 해시태그","박은주,양지열,김만권 지음",미디어샘
제로 투 원 : 스탠퍼드대학교 스타트업 최고 명강의,"피터 틸,블레이크 매스터스 지음,이지연 옮김",한국경제신문 :한경BP
"라이프 트렌드 2022 = ,Life trend : better normal life",김용섭 지음,부키
주식 데이트레이딩의 신 100법칙 : 돈 버는 민첩성과 판단력을 갈고닦는 100가지 비결,"이시이 카츠토시,옮긴이: 이정미",지상사 :청홍
(유니콘 성장을 위한) 하이 그로스 핸드북 : 1조 기업으로 성장시키는 스케일업 안내서,"일라드 길 지음,최기원 옮김",세종(세종서적)
세계미래보고서 2022 : the millennium project : 메타 사피엔스가 온다,"박영숙,제롬 글렌 지음",비즈니스북스
"머물고 싶은 순간을 팝니다 : 지속 가능한 일상이 그리워지는 지금, 우리가 원하는 공간에 대한 모든 것",정은아 지음,쌤앤파커스
(밀레니얼-Z세대) 트렌드 2022 : 하나로 정의할 수 없는 MZ세대와 새로운 법칙을 만들어가는 Z세대,대학내일20대연구소 지음,위즈덤하우스
"기후 위기, 마지막 경고 : 북극곰의 위기는 인류 위기의 예고편",서형석 지음,문예춘추사
불안한 사람들 : 프레드릭 배크만 장편소설,"프레드릭 배크만,옮긴이: 이은선",다산책방 :다산북스
주린이가 가장 알고 싶은 최다질문 TOP 77 : 큰글자도서 : 염블리 염승환과 함께라면 주식이 쉽고 재미있다,염승환 지음,메이트북스
우리의 뇌는 어떻게 배우는가 : 배움의 모든 것을 해부하다,"스타니슬라스 드앤 지음,엄성수 옮김",Rok Media(로크미디어)
어떻게 말해줘야 할까 : 버럭하지 않고 분명하게 알려주는 방법 : 오은영의 현실밀착 육아회화,"오은영, 차상미",김영사
작은 별이지만 빛나고 있어 : 소윤 에세이,소윤,북로망스
공간의 미래 : 코로나가 가속화시킨 공간 변화,유현준 지음,을유문화사
"종의 기원 = ,The origin of species : 정유정 장편소설",정유정,은행나무
문명 : 베르나르 베르베르 장편소설,"베르나르 베르베르 지음,전미연 옮김",열린책들
그러라 그래 : 양희은 에세이,양희은,김영사
달러구트 꿈 백화점 : 주문하신 꿈은 매진입니다,"이미예.,1",팩토리나인
(강원국의) 어른답게 말합니다 : 품격 있는 삶을 위한 최소한의 말공부,강원국 지음,웅진지식하우스 :웅진씽크빅
(박병창의) 돈을 부르는 매매의 기술,박병창 지음,포레스트북스
소크라테스 익스프레스 : 철학이 우리 인생에 스며드는 순간,"에릭 와이너 지음,김하현 옮김",어크로스(어크로스출판그룹)
부의 시나리오 : 불확실성을 기회로 만드는 4가지 투자전략,오건영 지음,Page2(페이지2북스)
죽은 자의 집 청소,김완 지음,김영사
공간이 만든 공간 : 새로운 생각은 어떻게 만들어지는가,유현준 지음,을유문화사
설민석의 책 읽어드립니다 : 세상의 모든 책썸 남녀를 위하여,"설민석, 한정석",Dankkum i(단꿈아이)
아몬드 : 손원평 장편소설,손원평 지음,창비
(식객 허영만의) 백반기행 : 식객이 뽑은 진짜 맛집 200,"허영만,TV조선 <식객 허영만의 백반기행> 제작팀",가디언
푸름아빠 거울육아 : 엄마의 감정을 거울처럼 비추는 아이,최희수 지음,한국경제신문 :한경BP
보건교사 안은영 : 정세랑 장편소설,정세랑 지음,민음사
